지점,지점명,일시,평균기온(°C)
108,서울,1908,10.4
108,서울,1909,10.6
108,서울,1910,10.3
108,서울,1911,10.6
108,서울,1912,10.1
108,서울,1913,10
108,서울,1914,12
108,서울,1915,10.8
108,서울,1916,10.9
108,서울,1917,9.8
108,서울,1918,10.5
108,서울,1919,11.1
108,서울,1920,11.4
108,서울,1921,10.9
108,서울,1922,10.8
108,서울,1923,10.6
108,서울,1924,11
108,서울,1925,10.7
108,서울,1926,10.5
108,서울,1927,11
108,서울,1928,11.1
108,서울,1929,11.4
108,서울,1930,11.8
108,서울,1931,10.9
108,서울,1932,11.6
108,서울,1933,10.5
108,서울,1934,10.1
108,서울,1935,11.2
108,서울,1936,9.8
108,서울,1937,11.4
108,서울,1938,10.9
108,서울,1939,11.7
108,서울,1940,10.8
108,서울,1941,11.1
108,서울,1942,10.9
108,서울,1943,11.7
108,서울,1944,10.9
108,서울,1945,10.4
108,서울,1946,11.3
108,서울,1947,9.6
108,서울,1948,11.7
108,서울,1949,11.7
108,서울,1954,11.4
108,서울,1955,11.5
108,서울,1956,10.1
108,서울,1957,10.4
108,서울,1958,11.6
108,서울,1959,12
108,서울,1960,12.1
108,서울,1961,12.4
108,서울,1962,11.7
108,서울,1963,11.3
108,서울,1964,12.2
108,서울,1965,11.4
108,서울,1966,11.5
108,서울,1967,11.6
108,서울,1968,11.8
108,서울,1969,10.9
108,서울,1970,11.4
108,서울,1971,11.5
108,서울,1972,11.9
108,서울,1973,12
108,서울,1974,11.1
108,서울,1975,12.5
108,서울,1976,11.5
108,서울,1977,12.3
108,서울,1978,12.4
108,서울,1979,12.5
108,서울,1980,10.8
108,서울,1981,11.2
108,서울,1982,12.5
108,서울,1983,12.4
108,서울,1984,11.6
108,서울,1985,11.6
108,서울,1986,11.2
108,서울,1987,11.9
108,서울,1988,12.1
108,서울,1989,13
108,서울,1990,12.8
108,서울,1991,12.3
108,서울,1992,12.5
108,서울,1993,12
108,서울,1994,13.5
108,서울,1995,12.2
108,서울,1996,12.2
108,서울,1997,12.9
108,서울,1998,13.8
108,서울,1999,13.2
108,서울,2000,12.7
108,서울,2001,12.8
108,서울,2002,12.9
108,서울,2003,12.8
108,서울,2004,13.3
108,서울,2005,12.1
108,서울,2006,13
108,서울,2007,13.3
108,서울,2008,12.9
108,서울,2009,12.9
108,서울,2010,12.1
108,서울,2011,12
108,서울,2012,12.2
108,서울,2013,12.5
108,서울,2014,13.4
108,서울,2015,13.6
108,서울,2016,13.6
108,서울,2017,13
108,서울,2018,12.9
108,서울,2019,13.5
108,서울,2020,13.2
108,서울,2021,13.7
108,서울,2022,13.2
